s_verb	s_verb_freq	s_verb_nfreq	s_verb_vfreq	s_verb_direct_div	s_verb_indirect_div	p_verb	p_verb_freq	p_verb_nfreq	p_verb_vfreq	p_verb_direct_div	p_verb_indirect_div	sp_freq_diff
presents	4.7279	3.5935	4.5812	3.3784	4.3504	present	5.7559	4.792	4.6337	3.1065	4.3599	-1.0279
describes	5.0009	0.4771	5.0007	3.4834	4.6026	describe	4.8329	1.4472	4.8323	3.0704	4.5691	0.168
troubles	4.2151	4.1629	2.3909	1.4624	2.9455	trouble	4.7306	4.6385	2.946	1.2041	3.3923	-0.5156
ends	5.0954	4.5548	4.9345	3.4211	4.404	end	6.0272	5.9645	4.8732	2.9773	4.394	-0.9318
speaks	4.5111	1.3424	4.4794	2.9708	4.1844	speak	4.9014	2.6848	4.8753	2.9465	4.3683	-0.3903
ships	5.2928	5.2675	3.237	2.179	3.4876	ship	5.4992	5.4685	3.6982	2.0212	3.7937	-0.2064
borders	4.8456	4.6326	4.2733	2.5843	3.6921	border	5.3133	5.2599	3.2889	2.2041	3.4856	-0.4677
guides	4.3424	4.1584	3.5193	2.5159	3.7813	guide	5.0143	4.6676	4.1708	2.3636	4.0955	-0.6719
needs	5.1185	4.887	4.7123	3.3692	4.3881	need	5.3943	5.0876	5.057	3.4489	4.5577	-0.2758
visits	4.6888	4.471	4.2782	2.7634	4.0101	visit	5.1296	4.847	4.7927	2.8319	4.2893	-0.4408
fans	5.1319	5.1284	2.0128	0.9542	2.6021	fan	4.9384	4.8439	2.7559	1.5682	3.231	0.1935
has	6.715	2.7372	6.2484	4.3952	5.1592	have	6.5628	2.8122	6.1205	4.2178	5.1541	0.1522
aims	4.6577	4.0567	4.5204	3.1661	4.2024	aim	4.7935	4.6773	4.0003	2.8488	4.0316	-0.1358
runs	5.4469	5.0632	5.2113	3.5301	4.4551	run	5.7324	5.2824	5.4765	3.3727	4.6327	-0.2855
colors	4.806	4.7682	2.1931	1.3222	2.9143	color	5.2217	5.1673	3.0755	1.415	3.4949	-0.4157
champions	5.279	5.0303	2.6304	1.301	3.1928	champion	5.4172	5.3088	3.1024	1	3.4533	-0.1382
creates	4.6206	0.301	4.6183	3.4833	4.3982	create	5.3785	2.4099	5.3756	3.3017	4.7179	-0.758
pilots	4.6835	4.6337	2.8363	1.0792	3.1335	pilot	5.1333	5.0784	3.2405	1.1461	3.4933	-0.4498
trains	5.1673	5.1264	3.849	2.4014	3.7848	train	5.3691	5.2427	4.5082	2.444	4.1315	-0.2018
bonds	4.5427	4.493	2.9425	1.7709	3.2918	bond	4.8943	4.6424	3.4562	1.8633	3.6682	-0.3515
means	5.4507	5.0652	5.207	3.8976	4.8426	mean	4.9697	4.1011	4.6798	2.6981	4.4778	0.4809
fires	4.5143	4.3983	3.7481	2.5092	3.7697	fire	5.6289	5.4942	4.2868	2.2577	4.07	-1.1146
classes	5.1631	5.1608	2.2227	1.2041	2.8407	class	5.8108	5.7947	2.1703	1.1139	2.8048	-0.6476
terms	5.3893	5.3853	3.0715	1.6232	3.5483	term	5.66	5.6538	2.8633	1.3979	3.3687	-0.2708
operates	4.9772	1.0414	4.977	3.3504	4.3	operate	4.9938	2.2201	4.992	3.2087	4.4079	-0.0166
claims	5.1643	4.8975	4.8003	3.0445	4.3874	claim	5.1171	4.8606	4.7596	2.9304	4.3691	0.0472
speeds	4.4538	4.4292	3.1535	2.248	3.5299	speed	5.4108	5.3619	3.7222	1.7709	3.9112	-0.957
hands	5.1578	5.1025	3.5167	2.2227	3.6633	hand	5.4927	5.44	4.1408	2.0414	4.0989	-0.3349
eyes	5.0378	4.9504	2.0492	0.9542	2.5933	eye	5.0968	4.9738	1.9395	1	2.6138	-0.059
works	5.7591	5.6041	5.0613	3.5747	4.4984	work	6.1448	6.0498	5.3937	3.4352	4.6484	-0.3857
laps	4.472	4.4688	1.7853	0.9542	2.4814	lap	4.8231	4.797	2.6222	1	3.0166	-0.3512
forms	5.3446	5.1693	4.8551	3.6341	4.4718	form	5.8389	5.662	5.3484	3.6407	4.7575	-0.4944
protests	4.6887	4.6732	3.1818	1.8513	3.4431	protest	4.7872	4.6962	4.0189	1.9395	3.917	-0.0986
wins	5.0483	4.9165	4.4438	2.9921	4.0198	win	5.6956	5.3609	5.4099	2.8048	4.3733	-0.6473
shares	4.8519	4.6098	4.4783	3.1784	4.2653	share	5.1849	4.8762	4.8747	3.2776	4.4692	-0.333
shows	5.5146	5.2466	5.173	3.7009	4.6586	show	5.9735	5.7944	5.2161	3.5773	4.6944	-0.459
disputes	4.4268	4.3882	3.1821	1.8451	3.4658	dispute	4.753	4.7133	3.5272	2.1584	3.7233	-0.3262
makes	5.3115	2.8357	5.3052	3.8443	4.722	make	5.813	4.039	5.7943	3.7591	4.9291	-0.5015
decides	4.7574	1	4.7559	2.9948	4.2158	decide	4.711	1.5682	4.7086	2.8338	4.2674	0.0464
colours	4.652	4.6218	1.8633	0.9542	2.6542	colour	4.8966	4.8633	2.6893	1.2553	3.2655	-0.2446
dates	5.0157	4.7376	4.6889	3.3444	4.2537	date	5.4456	5.3966	4.3741	3.0457	4.1192	-0.4299
brings	4.6189	0.7782	4.6149	3.4131	4.3412	bring	5.1489	2.0792	5.1369	3.1602	4.5601	-0.53
sports	5.5457	5.3433	3.2448	2.3729	3.6241	sport	5.1751	5.0159	2.9983	2.0492	3.4863	0.3706
estimates	4.5569	4.4482	3.8879	2.4133	3.8453	estimate	4.5198	4.3357	4.0365	2.2742	3.9996	0.0371
funds	5.0687	5.0485	3.4568	2.1818	3.5218	fund	5.1375	4.7259	4.3646	2.1173	4.0354	-0.0688
deals	4.5901	4.1418	4.3939	3.1092	4.2098	deal	5.3426	5.2049	4.6596	2.8401	4.3279	-0.7525
serves	5.2166	2.5391	5.2152	3.635	4.489	serve	5.2902	3.4943	5.2807	3.4664	4.595	-0.0736
gets	4.9997	1.6128	4.8754	3.4419	4.3941	get	5.6052	3.384	5.5224	3.2891	4.7039	-0.6055
sources	5.219	5.2129	2.433	1.5315	2.9643	source	5.4835	5.4719	2.9518	1.415	3.4158	-0.2645
rings	4.5923	4.4539	3.3062	2.2672	3.5628	ring	5.168	5.0238	3.6237	2.179	3.7905	-0.5757
leaves	5.2222	4.9335	4.8817	3.384	4.3632	leave	5.3004	4.413	5.2295	3.1726	4.5239	-0.0783
advances	4.5407	4.4558	3.6459	2.5647	3.7582	advance	5.0451	4.7094	4.6583	2.5428	4.1705	-0.5044
forces	5.6609	5.5424	4.136	2.9841	4.064	force	5.7735	5.4318	4.4852	2.6803	4.2376	-0.1126
copies	5.107	5.1041	2.9009	2.0719	3.341	copy	4.8168	4.7721	3.7258	1.8865	3.8513	0.2902
samples	4.6758	4.6445	3.453	2.0253	3.3698	sample	4.7785	4.7448	3.3249	1.8129	3.6616	-0.1026
refers	5.0563	0.6021	5.0563	3.942	4.7238	refer	4.8621	1.7076	4.8616	3.2931	4.608	0.1942
joins	4.5473	2.6107	4.5384	3.0116	4.1347	join	5.2123	3.2543	5.2045	3.0009	4.4511	-0.665
coaches	4.7342	4.6465	3.2978	1.415	3.2092	coach	5.6044	5.5775	3.9071	1.1761	3.5733	-0.8702
rules	5.3307	5.299	3.5422	2.4298	3.7414	rule	5.2988	5.2242	4.2991	2.4409	4.1053	0.032
carries	4.6913	3.8268	4.6234	3.3874	4.3538	carry	5.0654	3.7835	5.0235	3.3139	4.5616	-0.3742
places	5.3993	5.1551	4.2845	3.1752	4.2042	place	6.0421	5.9966	4.5974	3.0338	4.3542	-0.6428
signals	4.7132	4.6491	3.3105	2.5551	3.7062	signal	5.0726	4.9893	3.6957	2.1335	3.9085	-0.3594
brands	4.578	4.4936	2.3655	1.0792	2.8876	brand	5.1328	5.0269	2.9504	1.4624	3.4148	-0.5549
states	6.2144	5.3633	5.0402	3.1086	4.5621	state	6.3159	6.1088	4.3849	2.617	4.2235	-0.1015
breaks	4.6258	4.1289	4.4281	3.2445	4.2099	break	5.1855	4.8563	4.8499	2.9881	4.4288	-0.5597
attacks	5.1439	5.0909	4.1822	2.847	4.0357	attack	5.5218	5.4109	4.7739	2.8241	4.2921	-0.378
varies	4.5786	2.0414	4.5755	3.3817	4.3079	vary	4.7147	1.6902	4.6976	3.4231	4.4172	-0.1361
reasons	5.0706	5.0636	2.5933	0.9542	3.0913	reason	5.152	5.1268	3.2629	1.1461	3.5267	-0.0814
influences	4.7173	4.6714	3.6984	2.8982	3.8626	influence	5.304	5.2388	4.4009	2.7846	4.2018	-0.5868
programs	5.4091	5.4018	2.3962	1.3222	2.9552	program	5.7761	5.7239	3.2918	1.3617	3.5454	-0.367
connects	4.669	1.8062	4.6672	3.1316	4.1633	connect	4.7011	2.7451	4.6547	2.9365	4.2796	-0.032
awards	5.573	5.1677	3.7271	2.3617	3.6666	award	5.9217	5.4064	3.9405	2.233	3.8363	-0.3486
fights	4.4952	4.2443	4.096	2.5092	3.9277	fight	5.3617	5.0811	4.9478	2.7177	4.3606	-0.8665
orders	5.0503	4.9859	4.1586	2.6042	3.9946	order	5.9228	5.8211	4.1441	2.0934	4.0976	-0.8725
centres	4.6459	4.5936	3.2973	2.2504	3.5898	centre	5.6456	5.3838	2.705	1.8195	3.2769	-0.9997
tells	5.1506	1.9445	5.1491	3.1981	4.414	tell	4.9739	3.1281	4.8985	2.8899	4.3875	0.1768
routes	4.9553	4.942	2.4639	1.4624	3.0077	route	5.6384	5.4859	3.0056	1.4624	3.4111	-0.6831
remains	5.3731	4.8982	5.1884	3.7818	4.5915	remain	5.1891	2.1875	5.186	3.6227	4.5842	0.1839
rates	4.9192	4.9095	3.1781	2.1004	3.4887	rate	5.3857	5.3787	3.471	2.1072	3.6936	-0.4665
features	5.5972	5.2131	5.3609	3.652	4.5843	feature	5.4115	5.2507	4.8359	3.4011	4.4005	0.1857
debates	4.2908	4.2664	2.5729	1.5798	3.0697	debate	4.9173	4.8686	3.6513	2.1072	3.752	-0.6265
follows	5.238	2.1461	5.2367	3.579	4.6042	follow	5.1385	4.3912	5.0435	3.3925	4.5355	0.0995
archives	4.6876	4.3873	2.1492	1	2.752	archive	4.6178	4.3643	2.8882	1.2553	3.2728	0.0698
says	5.1806	1.6721	5.1757	3.185	4.5952	say	5.2	3.4768	5.1385	2.9253	4.6018	-0.0194
reflects	4.4723	2.8537	4.4607	3.3367	4.2726	reflect	4.6635	2.0294	4.6605	3.1679	4.3526	-0.1912
lands	5.0536	4.9898	3.8603	2.6785	3.8945	land	5.8243	5.7492	4.3223	2.3784	4.0755	-0.7707
looks	4.7053	3.872	4.6276	3.3465	4.3648	look	5.185	4.6249	4.9993	3.1987	4.5322	-0.4797
courses	5.0243	5.0202	1.9494	1.0792	2.5502	course	5.4616	5.3824	1.7404	0.9031	2.4928	-0.4373
returns	4.9486	4.2128	4.8304	3.34	4.3044	return	5.5918	5.2944	5.2467	3.1109	4.5057	-0.6432
calls	5.0372	4.658	4.7903	3.2475	4.4361	call	5.3495	5.0596	4.9386	3.1421	4.5278	-0.3123
battles	4.7269	4.6686	3.5011	2.1072	3.5851	battle	5.679	5.5242	3.9912	2.3181	3.9097	-0.9521
books	5.5843	5.4807	2.5441	1.1761	2.98	book	5.9198	5.838	3.5497	1.7924	3.6727	-0.3356
receives	4.7001	1.6628	4.699	3.3098	4.3034	receive	5.1635	2.673	5.1616	3.2639	4.528	-0.4634
starts	5.0239	4.4155	4.8976	3.5544	4.4225	start	5.4937	5.2642	5.0836	3.3168	4.4945	-0.4698
seats	5.1575	5.1426	3.5998	2.0719	3.4378	seat	5.4487	5.4339	3.528	1.3617	3.5783	-0.2911
marks	4.8235	4.4663	4.3935	3.2425	4.1523	mark	5.5138	4.7323	4.4284	2.9031	4.2251	-0.6903
houses	5.3473	5.2285	4.6801	3.0481	4.1759	house	6.0963	5.8259	4.3437	2.4683	4.0679	-0.749
controls	4.6996	4.5129	4.2058	3.0137	4.128	control	5.7227	5.623	4.7838	2.7875	4.453	-1.0231
plants	5.1835	5.1696	3.0035	1.7324	3.4031	plant	5.4401	5.3757	3.749	2.0792	3.8818	-0.2566
powers	5.1266	5.0459	3.2146	2.1987	3.5219	power	5.8502	5.7748	3.8835	1.8692	3.9085	-0.7236
leads	4.9849	3.9454	4.9418	3.6368	4.5359	lead	5.7129	5.2262	5.1603	3.4658	4.6125	-0.728
causes	5.0164	4.649	4.7597	3.6196	4.4959	cause	5.3105	5.0115	4.9757	3.2543	4.6007	-0.2941
strips	4.2812	4.2522	2.9703	2.0294	3.486	strip	4.8079	4.6876	3.5051	1.699	3.7814	-0.5268
contains	5.4265	1.7924	5.4263	3.8979	4.8016	contain	4.9818	1.7853	4.9812	3.6076	4.6517	0.4446
flies	4.4384	4.1684	4.0145	2.7789	3.9158	fly	4.9384	4.3709	4.6542	2.7853	4.242	-0.5
supports	4.8489	3.77	4.8104	3.4365	4.419	support	5.8119	5.6532	5.2557	3.2704	4.6047	-0.963
becomes	5.2123	1.3222	5.2098	3.8013	4.6266	become	5.7727	1.7853	5.7718	3.6531	4.8803	-0.5604
guards	4.8082	4.5128	3.1281	2.017	3.453	guard	5.22	4.8074	3.9717	2.0969	3.9621	-0.4118
studies	5.5999	5.4713	3.7939	2.5514	3.8682	study	5.6043	5.4546	4.9371	2.5211	4.3821	-0.0044
asks	4.7741	1.3802	4.7733	2.9952	4.2377	ask	4.7028	2.6637	4.67	2.6866	4.2886	0.0714
matches	5.3924	5.3762	3.9195	2.9903	4.0088	match	5.6937	5.6544	4.5548	2.7551	4.2798	-0.3013
assists	4.6902	4.603	3.9452	2.8	3.9724	assist	4.8409	4.0702	4.7502	2.7356	4.3525	-0.1507
levels	5.2888	5.2851	2.5315	1.6021	3.0488	level	5.777	5.7662	3.5579	1.5682	3.6922	-0.4882
exhibits	4.511	4.3042	4.0829	3.155	4.1473	exhibit	4.6802	4.3844	4.3389	3.1934	4.3006	-0.1692
charges	4.9538	4.9365	3.5193	2.4548	3.7362	charge	5.2403	5.1987	4.0722	2.4969	4.0155	-0.2865
continues	5.1781	1.8865	5.1742	3.6265	4.5113	continue	5.249	2.2765	5.2468	3.4809	4.5638	-0.0709
notes	5.2079	5.0573	4.5976	2.7235	4.3786	note	5.2381	5.0827	4.6038	2.4346	4.4028	-0.0302
frames	4.4282	4.3958	3.1096	2.1959	3.5045	frame	4.9805	4.9433	3.5901	2.143	3.7843	-0.5524
lines	5.4062	5.3662	2.935	2.1367	3.3789	line	6.0175	5.9191	3.7458	2.6857	3.9119	-0.6113
adds	4.449	2.356	4.4445	3.3174	4.34	add	4.8376	3.8578	4.7709	3.1355	4.473	-0.3886
objects	5.0245	5.0118	3.1578	1.8325	3.487	object	5.0196	4.9905	3.4645	1.9191	3.7126	0.0049
honours	4.666	4.4958	3.4451	2.2068	3.5289	honour	4.8992	4.7777	3.8798	1.9243	3.8335	-0.2332
tracks	5.4706	5.4391	3.7911	2.525	3.8464	track	5.6975	5.6579	4.2898	2.4579	4.1321	-0.2269
supplies	4.833	4.7714	3.9053	2.8129	3.9756	supply	5.1474	5.023	4.3881	2.6222	4.209	-0.3144
takes	5.3735	3.6487	5.3573	3.8535	4.6793	take	5.7695	4.418	5.7351	3.6603	4.8378	-0.396
comprises	4.6718	1.4771	4.6714	3.4854	4.3488	comprise	4.2326	1.0792	4.232	3.2343	4.1883	0.4393
passes	5.0143	4.4741	4.8618	3.2572	4.2846	pass	5.2905	4.9111	4.9147	3.0871	4.4601	-0.2762
owns	4.6053	1.415	4.6044	2.7443	4.1247	own	5.9038	3.3126	4.3529	2.5514	4.0997	-1.2985
manages	4.6093	1.415	4.609	3.0418	4.2465	manage	4.7307	1.9823	4.7283	2.8768	4.3293	-0.1214
judges	4.8392	4.8188	2.9956	1.7993	3.4216	judge	5.2937	5.1063	3.9132	1.9823	3.9733	-0.4545
models	5.2077	5.1945	3.086	2.1106	3.5116	model	5.5745	5.5262	3.742	1.8573	3.859	-0.3669
experiences	4.8716	4.8097	3.9606	2.7832	3.9214	experience	5.3487	5.2609	4.4615	2.8388	4.2577	-0.4771
reviews	5.197	5.1722	3.4947	2.3222	3.6842	review	5.4418	5.257	4.1368	2.2253	3.9632	-0.2447
considers	4.4921	0	4.4919	2.9727	4.2547	consider	4.8904	1.4472	4.8889	3.0488	4.4673	-0.3983
sounds	4.8336	4.6197	4.1481	2.8122	4.1119	sound	5.474	5.2698	4.1702	2.5682	4.1178	-0.6404
links	4.8054	4.6945	4.061	2.8055	3.9733	link	5.0144	4.8417	4.2118	2.658	4.1098	-0.209
challenges	4.7175	4.6377	3.837	2.6444	3.8929	challenge	5.1766	4.8475	4.3241	2.4456	4.0943	-0.4591
practices	4.9281	4.9061	3.4504	2.1703	3.6343	practice	5.4364	5.3865	4.3595	2.5539	4.1451	-0.5083
styles	4.8468	4.794	2.5694	1.2553	3.1	style	5.6271	5.6112	2.8319	1.5185	3.2923	-0.7803
benefits	4.8346	4.7985	3.6413	2.7459	3.829	benefit	4.9101	4.7291	4.3846	2.7566	4.1931	-0.0755
labels	4.4735	4.4547	2.9912	2.0212	3.4515	label	5.2937	5.274	3.4755	2.0043	3.7826	-0.8202
targets	4.689	4.6391	3.6912	2.738	3.8791	target	5.074	4.9754	4.0326	2.6191	4.0735	-0.385
learns	4.5276	1.301	4.5247	2.6314	4.1331	learn	4.9062	1.9823	4.8956	2.8055	4.4007	-0.3786
displays	4.6303	4.3536	4.2997	3.2408	4.2353	display	5.0706	4.941	4.455	3.1323	4.3228	-0.4403
risks	4.4173	4.3916	3.1011	2.0607	3.5407	risk	5.1631	5.1221	3.818	2.1139	3.9147	-0.7458
designs	4.9779	4.9539	3.494	2.017	3.688	design	5.7305	5.6498	4.446	2.179	4.1575	-0.7526
tasks	4.6338	4.6273	2.6551	1.5185	3.129	task	5.0381	4.9356	2.1614	1.1139	2.8704	-0.4043
masters	4.917	4.5825	2.3838	1.0414	2.9689	master	5.4586	5.3779	3.5839	1.4914	3.7918	-0.5415
documents	4.9779	4.9442	3.7493	2.5224	3.8504	document	4.8816	4.8226	3.9171	2.3324	3.9471	0.0963
writes	4.8128	2.8831	4.8061	2.7882	4.4288	write	5.0882	3.8855	5.0533	2.5966	4.4626	-0.2753
