s_verb	s_verb_freq	s_verb_nfreq	s_verb_vfreq	s_verb_direct_div	s_verb_indirect_div	p_verb	p_verb_freq	p_verb_nfreq	p_verb_vfreq	p_verb_direct_div	p_verb_indirect_div	sp_freq_diff
longs	3.3214	1.8325	3.1408	1.7634	3.3872	long	6.0098	3.378	2.5809	1.1461	3.1062	-2.6884
surfaces	4.5369	4.5276	2.752	1.9085	3.2499	surface	5.3529	5.3377	3.3766	1.7076	3.658	-0.816
includes	5.586	1.6435	5.5858	3.917	4.876	include	5.8936	2.3729	5.8934	4.0384	5.1388	-0.3076
vents	3.7183	3.6551	2.4232	1.301	2.9694	vent	3.9629	3.8572	2.9685	1.4314	3.4099	-0.2447
patterns	4.7675	4.7607	1.6128	0.8451	2.3617	pattern	4.9425	4.9336	2.3032	1.0792	2.9542	-0.175
plans	5.3099	5.2534	4.3578	2.711	4.0767	plan	5.4445	5.3592	4.2888	2.5551	4.0801	-0.1346
critiques	3.6505	3.5392	2.8645	1.6435	3.3141	critique	4.2061	4.0953	3.0603	1.5911	3.4509	-0.5556
trends	4.374	4.3248	2.3522	1.4472	2.6385	trend	4.562	4.5286	2.3766	1.3979	2.917	-0.188
plays	5.4614	4.8648	5.3264	3.6162	4.4824	play	5.8801	5.5296	5.5774	3.4736	4.6229	-0.4186
fishes	3.9702	3.9483	2.0294	0.4771	2.6415	fish	5.2176	5.1222	3.4883	1.7243	3.6418	-1.2474
bridges	4.7683	4.6442	2.9694	2.179	3.4254	bridge	5.5346	5.2915	3.6191	1.9445	3.808	-0.7663
begins	5.1584	1.9494	5.152	3.7029	4.542	begin	5.0743	3.2574	5.0592	3.4582	4.5063	0.0841
combats	3.1608	3.0069	2.616	1.5911	3.1903	combat	5.1679	5.0098	4.1989	1.9345	4.1083	-2.0071
approaches	4.6891	4.5208	4.1203	3.0484	4.0682	approach	5.2217	5.1757	4.1273	2.6902	4.1163	-0.5326
services	5.7724	5.711	3.273	2.0569	3.3522	service	5.9767	5.8635	3.7023	1.9243	3.7521	-0.2043
equips	2.7889	2.0492	2.6955	1.716	3.239	equip	3.6903	2.3385	3.6577	1.7243	3.7718	-0.9014
interviews	4.7344	4.7128	3.3621	1.9031	3.5317	interview	5.1581	5.1379	3.6479	1.6628	3.6839	-0.4237
holds	5.1239	3.4244	5.1131	3.5111	4.4984	hold	5.2692	4.4259	5.1827	3.3028	4.5687	-0.1453
fills	3.8352	2.9722	3.7651	2.8887	3.9574	fill	4.6971	3.8924	4.6125	2.8603	4.3011	-0.8619
posts	4.6478	4.6251	3.1471	1.9445	3.4381	post	5.5254	5.282	3.9906	2.0607	3.9409	-0.8776
reprises	3.2826	2.2967	3.2348	1.6628	3.1793	reprise	4.1942	3.9438	3.6521	1.4914	3.3753	-0.9116
taxes	4.7237	4.7177	2.1584	1	2.7267	tax	5.2284	5.1874	3.2172	1.2788	3.4595	-0.5048
mentions	4.575	3.666	4.5171	2.9576	4.294	mention	4.7942	4.5952	4.3237	2.6325	4.2289	-0.2192
pairs	4.7038	4.6708	3.0813	2.1703	3.4998	pair	5.0681	5.054	3.2732	2.0128	3.6034	-0.3643
effects	5.269	5.2532	2.8248	2.0645	3.4244	effect	5.3469	5.3261	3.6405	1.9085	3.8854	-0.0779
channels	4.8199	4.8074	2.7007	1.6628	3.2903	channel	5.4853	5.2509	3.2175	1.2304	3.6165	-0.6654
turns	4.9551	4.2113	4.8558	3.4545	4.3732	turn	5.3826	5.1631	4.9297	3.1617	4.4784	-0.4275
positions	5.1584	5.155	2.9489	2.179	3.4654	position	5.7037	5.7002	3.4909	1.9685	3.7946	-0.5453
concerns	4.906	4.8336	4.0765	2.94	4.0545	concern	4.8425	4.7947	3.6056	2.5416	3.8335	0.0635
finds	5.0561	3.9676	5.0173	3.3253	4.4407	find	5.4396	3.6606	5.4282	3.2248	4.7092	-0.3835
witnesses	4.526	4.4034	3.6646	2.2742	3.7368	witness	4.6427	4.4659	3.8748	2.1931	3.9494	-0.1166
views	5.0208	4.9907	3.7698	2.5551	3.9005	view	5.3619	5.2514	4.4273	2.6946	4.2397	-0.3411
comments	4.6474	4.5691	3.8593	2.1523	3.9708	comment	4.4466	4.2702	3.8995	2.0645	3.9145	0.2008
attempts	5.1022	4.9339	4.6083	3.2071	4.2696	attempt	5.303	5.2073	4.5957	3.0322	4.316	-0.2008
stages	4.9714	4.9596	3.183	2.0414	3.4293	stage	5.6355	5.6103	3.7055	1.9138	3.772	-0.664
structures	5.0661	5.0593	2.3522	1.4771	3.0228	structure	5.4473	5.4405	3.0839	1.6435	3.4991	-0.3812
extends	4.6319	1.4771	4.6314	3.4352	4.2935	extend	4.6961	2.5038	4.6914	3.1361	4.3712	-0.0642
races	5.2897	5.2754	3.3462	1.9956	3.4912	race	5.6877	5.6305	4.0954	2.2695	3.8644	-0.398
bars	4.6588	4.6276	2.7789	1.7853	3.2669	bar	5.2286	5.065	3.4481	1.9494	3.7157	-0.5698
issues	5.4222	5.4057	3.6747	2.5011	3.8144	issue	5.4165	5.38	4.2703	2.2923	4.0802	0.0057
factors	4.9563	4.9522	2.4425	1.7559	3.0588	factor	5.0015	4.9359	2.918	1.3979	3.4007	-0.0452
lives	5.3274	5.0197	4.9651	3.2828	4.3128	live	5.7837	3.7901	5.242	3.2728	4.5441	-0.4562
distances	4.3927	4.3843	2.5752	1.3979	3.0588	distance	5.2767	5.2559	3.5507	1.4624	3.7235	-0.8839
stars	5.3758	5.1221	4.633	2.433	3.8962	star	5.6392	5.2522	4.0768	1.699	3.7034	-0.2634
represents	4.9609	2.2041	4.9595	3.6732	4.497	represent	5.0704	1.7404	5.0697	3.4932	4.5505	-0.1096
fields	5.1763	5.0925	3.2512	1.9294	3.2119	field	5.7977	5.6948	3.7577	1.5911	3.6216	-0.6214
seeds	4.6908	4.6587	1.7993	1	2.4983	seed	4.8346	4.7849	2.7033	0.7782	3.2	-0.1439
records	5.7325	5.2615	4.2404	2.8657	4.1368	record	5.8115	5.7336	4.7732	2.6739	4.2586	-0.079
drives	4.5231	4.2231	4.2051	3.0253	4.0923	drive	5.2663	4.9378	4.6596	2.7782	4.3222	-0.7432
covers	5.104	4.5095	4.9741	3.4559	4.3745	cover	5.416	5.2809	4.8197	3.2276	4.4317	-0.312
references	4.7455	4.6941	3.7876	2.6684	3.8762	reference	5.164	5.1401	3.5469	2.3263	3.7991	-0.4185
changes	5.3854	5.3218	4.4968	3.3495	4.2763	change	5.5511	5.3485	5.0404	3.1652	4.5237	-0.1657
bears	4.853	4.0669	4.4279	3.3226	4.2662	bear	4.9597	4.3521	4.4898	3.1329	4.315	-0.1066
groups	5.5635	5.5584	2.946	1.9685	3.3533	group	6.1553	6.0398	3.2435	1.9345	3.6166	-0.5918
names	5.3521	5.3071	3.8438	2.6253	3.8756	name	6.1028	6.0916	4.315	2.4346	4.176	-0.7507
sees	4.8162	3.0913	4.8011	3.2533	4.3674	see	5.6819	4.0228	5.6412	3.1605	4.8805	-0.8658
loves	4.5445	3.1075	4.4334	2.4014	4.0508	love	5.7593	5.4072	4.7509	2.4183	4.2381	-1.2148
projects	5.2765	5.2526	3.4926	2.5315	3.7389	project	5.7337	5.6266	3.7478	2.415	3.9226	-0.4572
honors	4.7314	4.6383	3.77	2.4654	3.733	honor	5.2095	5.0184	4.2439	2.1139	4.002	-0.478
values	5.0382	5.0204	3.2383	2.2068	3.5507	value	5.3259	5.3104	3.5211	2.1461	3.7591	-0.2877
releases	4.7827	4.6945	4.0425	2.937	4.0387	release	5.6525	5.5894	4.7591	2.7364	4.3074	-0.8698
tours	4.7579	4.6434	3.3088	1.8808	3.3367	tour	5.6494	5.4478	4.1339	1.8261	3.8011	-0.8916
gives	5.1649	1.5563	5.1637	3.7689	4.6656	give	5.4098	2.9106	5.4	3.5549	4.7594	-0.2449
hosts	4.9006	4.5246	4.6617	3.0406	4.1578	host	5.3018	5.2049	4.5407	2.7177	4.1221	-0.4013
singles	5.2973	5.1888	2.7752	1.6812	3.2905	single	5.9647	5.578	2.8235	1.3222	3.3747	-0.6675
ministers	4.7476	4.6845	2.0607	0.8451	2.6532	minister	5.6969	5.4284	3.0993	1	3.3334	-0.9494
offers	5.2266	4.1746	5.1859	3.6151	4.5317	offer	5.1715	4.7318	4.9723	3.4133	4.5041	0.0551
murders	4.4926	4.397	3.4198	1.9823	3.5211	murder	5.1679	5.0762	3.8899	1.7782	3.8107	-0.6752
allows	5.1692	0.4771	5.1691	3.749	4.6452	allow	5.2915	1.7853	5.2911	3.5108	4.6821	-0.1223
analyses	4.2012	4.1523	3.1017	2	3.5395	analyse	3.5968	2.9289	3.4678	1.7853	3.7448	0.6043
uses	5.3528	4.4845	5.2889	3.7945	4.7558	use	6.0354	5.8258	5.6142	3.7882	4.9079	-0.6825
voices	4.7337	4.5719	3.4296	1.7924	3.4411	voice	5.3515	5.2542	3.5446	1.6721	3.6534	-0.6178
provides	5.3518	1.301	5.3518	3.8421	4.6779	provide	5.5109	1.2041	5.5101	3.696	4.7571	-0.159
parks	4.8919	4.6699	2.3243	1.0414	2.8645	park	5.9172	5.3801	3.2958	1.6532	3.5205	-1.0253
numbers	5.3056	5.2975	2.8745	1.9345	3.1937	number	6.1247	6.1216	3.3672	2.1523	3.5505	-0.8191
stands	4.9904	4.2066	4.9083	3.5564	4.439	stand	5.1668	4.6381	4.8596	3.2494	4.4262	-0.1764
reports	5.1706	5.0603	4.4026	2.8615	4.1871	report	5.4369	5.2941	4.5838	2.8096	4.2595	-0.2662
