s_noun	s_noun_freq	s_noun_nfreq	s_noun_vfreq	s_noun_direct_div	s_noun_indirect_div	p_noun	p_noun_freq	p_noun_nfreq	p_noun_vfreq	p_noun_direct_div	p_noun_indirect_div	sp_freq_diff
catholic	5.4659	3.1031	0.4771	1.301	3.0645	catholics	4.4949	3.0306	0.7782	1.7853	2.9814	0.9709
ride	4.8937	4.6293	4.2749	2.6031	3.8805	rides	4.3254	4.0893	3.8011	2.0864	3.5683	0.5683
platform	5.2003	5.1789	1.6532	2.8627	4.0275	platforms	4.7988	4.7966	0	2.4983	3.8241	0.4015
ogre	3.4842	2.9042	0.699	1.6128	3.035	ogres	2.7993	2.6201	0	1.1761	2.8537	0.6848
ventilator	3.1778	3.1361	0	1.5441	3.1212	ventilators	2.8531	2.85	0	1.2553	2.8537	0.3247
ribbon	4.4195	4.2117	1.4314	2.1038	3.6061	ribbons	3.682	3.6346	1.0792	1.8513	3.3985	0.7375
ring	5.168	5.0238	3.6237	2.7543	4.0564	rings	4.5923	4.4539	3.3062	2.4928	3.8144	0.5757
misfit	3.0799	2.8591	0.301	1.2041	3.037	misfits	3.4643	3.0906	0.8451	1.716	3.1798	-0.3844
bidder	3.6061	3.5744	1.1139	2.0569	3.3757	bidders	3.2882	3.2849	1.0792	1.9445	3.2219	0.3178
debate	4.9173	4.8686	3.6513	2.6522	3.9729	debates	4.2908	4.2664	2.5729	2.3729	3.7144	0.6265
opposition	5.1592	5.149	1.1461	2.871	4.0572	oppositions	2.9238	2.9212	0	1.3979	3.092	2.2355
debater	2.9133	2.8722	1.4624	1.3424	2.8035	debaters	2.8597	2.7597	0.301	1.7993	2.8768	0.0535
sage	4.3312	3.803	2.0569	2.3054	3.5227	sages	3.5574	3.4206	1.2553	2.1303	3.3746	0.7738
