Louis of_Burma of house of Mountbatten	Louis of_Battenberg
Margarita of house of Mountbatten	Andrew of_Greece
Theodora of house of Mountbatten	Andrew of_Greece
Cecilie of_Greece of house of Mountbatten	Andrew of_Greece
Sophia #2	Andrew of_Greece
Philip of house of Mountbatten	Andrew of_Greece
Alexandra #2	Alexander of house of Duff
Maud of house of Carnegie	Alexander of house of Duff
James Robert Bruce of house of Ogilvy	Angus of house of Ogilvy
Marina Victoria Alexandra of house of Ogilvy	Angus of house of Ogilvy
George Philip of_St._Andrews of house of Windsor	Edward George Nicholas of house of Windsor
Helen Marina Lucy of house of Windsor	Edward George Nicholas of house of Windsor
Nicholas Charles Edward of house of Windsor	Edward George Nicholas of house of Windsor
Christian Victor	(Frederick) Christian Charles
Albert of_Schleswig- Holstein	(Frederick) Christian Charles
Helena Victoria	(Frederick) Christian Charles
Marie Louise	(Frederick) Christian Charles
Frederick Harold	(Frederick) Christian Charles
Margaret of_Sweden	Arthur William Patrick
Arthur of_Connaught	Arthur William Patrick
Patricia	Arthur William Patrick
Gustav Adolf	Gustav_VI Adolf
Ingrid Victoria of_Sweden	Gustav_VI Adolf
Sigvard Oscar Fredrik	Gustav_VI Adolf
Bertil Gustaf Oscar	Gustav_VI Adolf
Carl Johan Arthur	Gustav_VI Adolf
Alistair Arthur of_Connaught_2nd	Arthur of_Connaught
Alexander of_Mar of house of Ramsay	Alexander of house of Ramsay
Rupert	Alexander George of_Teck
Son_2 #3	Alexander George of_Teck
May Cambridge	Alexander George of_Teck
George_IV of house of Hanover	George_III of house of Hanover
Frederick of house of Hanover	George_III of house of Hanover
William_IV Henry of house of Hanover	George_III of house of Hanover
Charlotte Augusta Matilda of house of Hanover	George_III of house of Hanover
Edward Augustus of house of Hanover	George_III of house of Hanover
Augusta Sophia of house of Hanover	George_III of house of Hanover
Elizabeth of house of Hanover	George_III of house of Hanover
Ernest Augustus_I of house of Hanover	George_III of house of Hanover
Augustus Frederick of house of Hanover	George_III of house of Hanover
Adolphus of_Cambridge of house of Hanover	George_III of house of Hanover
Mary of house of Hanover	George_III of house of Hanover
Sophia of house of Hanover	George_III of house of Hanover
Octavius of house of Hanover	George_III of house of Hanover
Alfred of house of Hanover	George_III of house of Hanover
Amelia of house of Hanover	George_III of house of Hanover
George of_Cambridge	Adolphus of_Cambridge of house of Hanover
Augusta Caroline	Adolphus of_Cambridge of house of Hanover
Mary Adelaide "Fat_Mary"	Adolphus of_Cambridge of house of Hanover
Mary_of_Teck (May)	Francis
Adolphus 2nd	Francis
Francis #2	Francis
Alexander George of_Teck	Francis
Victoria of house of Hanover	Edward Augustus of house of Hanover
Ernest_II of_Saxe-Coburg- Saalfeld	Ernest_I of_Saxe-Coburg- Saalfeld
Albert Augustus Charles	Ernest_I of_Saxe-Coburg- Saalfeld
Charlotte Augusta of house of Hanover	George_IV of house of Hanover
Violet Hyacinth of house of Bowes-Lyon	Claude George of house of Bowes-Lyon
Mary Frances of house of Bowes-Lyon	Claude George of house of Bowes-Lyon
Patrick of house of Bowes-Lyon	Claude George of house of Bowes-Lyon
John Herbert of house of Bowes-Lyon	Claude George of house of Bowes-Lyon
Alexander Francis of house of Bowes-Lyon	Claude George of house of Bowes-Lyon
Fergus of house of Bowes-Lyon	Claude George of house of Bowes-Lyon
Rose of house of Bowes-Lyon	Claude George of house of Bowes-Lyon
Michael Claude of house of Bowes-Lyon	Claude George of house of Bowes-Lyon
Elizabeth Angela Marguerite of house of Bowes-Lyon	Claude George of house of Bowes-Lyon
